Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
Human papillomavirus type 36	60483.0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	67.0	2.0
Human papillomavirus	2646.0	563.0	2.0	602.0	1214.0	314.0	1821.0	16772.0	92.0	3923.0	258.0	189.0	12.0	24.0	54.0	155.0	191.0	12.0	11.0	4.0	49.0	1846.0	12.0	1204.0
Human papillomavirus type 8	24775.0	0	0	340.0	13447.0	0	0	1.0	0	0	0	0	2.0	0	0	0	0	0	0	0	2.0	0	0	0
MW polyomavirus	131.0	0	0	21.0	0	0	0	9.0	0	28.0	0	27.0	10.0	0	0	29.0	22.0	0	0	0	0	169.0	0	0
Human papillomavirus 100	1076.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 16	68.0	0	0	57.0	0	0	399.0	10.0	0	0	0	4.0	0	0	0	193.0	0	0	0	0	35.0	4.0	0	1.0
LI polyomavirus	72.0	0	0	19.0	0	0	3.0	219.0	0	23.0	0	6.0	3.0	0	0	43.0	16.0	0	0	0	6.0	239.0	0	8.0
Human papillomavirus 15	545.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0	13.0
Betapapillomavirus 2	27.0	0	0	0	0	0	0	2210.0	0	0	0	0	0	0	4.0	58.0	0	2.0	0	0	0	0	0	12548.0
Merkel cell polyomavirus	206.0	0	2.0	2.0	0	0	2.0	1038.0	2.0	332.0	1.0	11.0	15.0	0	0	9.0	0	0	0	0	16.0	17.0	0	40.0
Spodoptera frugiperda multiple nucleopolyhedrovirus	91.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 107	424.0	0	0	0	0	0	1260.0	127.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammapapillomavirus 12	99.0	3.0	0	0	4.0	0	0	444.0	0	0	2.0	0	0	0	0	0	0	0	0	3.0	0	2.0	0	0
uncultured Papillomavirus	144.0	1.0	0	0	0	0	13.0	0	0	0	0	0	2.0	0	0	3.0	1.0	0	0	0	91.0	295.0	0	0
Human papillomavirus type 182	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Suid alphaherpesvirus 1	29.0	0	0	7.0	0	0	0	1.0	0	0	0	0	0	0	0	3.0	5.0	0	0	0	36.0	0	0	0
Human papillomavirus type 49	19.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	7.0	22.0	0	0
Human polyomavirus 5	6.0	0	0	0	0	0	0	13.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	2.0
Human papillomavirus 157	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epstein-Barr virus	6.0	2.0	0	0	0	0	0	0	0	8.0	0	0	1.0	2.0	0	1.0	6.0	0	0	0	1.0	27.0	0	0
Human papillomavirus 148	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moloney murine leukemia virus	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 38	25.0	0	0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 37	11.0	0	0	0	0	0	69.0	0	0	0	0	0	1.0	0	1.0	113.0	0	0	0	0	0	0	0	0
Papillomavirus JL74	5.0	0	0	2.0	0	0	0	2.0	0	0	0	0	30.0	0	0	0	0	0	0	0	8.0	58.0	0	0
Spodoptera frugiperda granulovirus	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 120	12.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	4.0	1.0	0	0	0	0	0	0	0
Human papillomavirus 105	2.0	0	0	0	0	0	578.0	0	0	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0
uncultured Caudovirales phage	3.0	0	0	2.0	3.0	0	1.0	2.0	0	0	0	0	0	0	4.0	0	0	2.0	1.0	0	2.0	0	4.0	0
Human papillomavirus type 114	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 143	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Wizzo	1.0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammapapillomavirus 18	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Pirate	1.0	0	0	0	0	0	12.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus virus PH15	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 24	1.0	0	0	0	0	0	236.0	0	0	1.0	0	421.0	0	26.0	2047.0	0	0	0	0	0	0	0	0	946.0
Human polyomavirus 1	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	37.0	0	0
Propionibacterium phage PHL037M02	1.0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 185	1.0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cat associated lyon-IARC polyomavirus	1.0	0	0	4.0	0	0	0	19.0	0	0	0	0	1.0	0	0	4.0	0	0	0	0	0	9.0	0	0
Enterobacteria phage f1	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circular genetic element sp.	2.0	0	0	0	0	0	44.0	9.0	0	3.0	0	91.0	0	0	0	0	14.0	0	0	0	4.0	0	0	14.0
Human papillomavirus type 176	1.0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL308M00	1.0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
