"ESPECES" "family" "subkingdom" "genus" "species" "number" "value" "from_"
"Human papillomavirus type 36" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.5" 60310 NA
"Human papillomavirus type 8" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.5" 24679 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.5" 2511 NA
"Human papillomavirus 100" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 1074 NA
"Human papillomavirus 15" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 536 NA
"Human papillomavirus 107" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 420 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.5" 198 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.5" 131 NA
"uncultured Papillomavirus" "Papillomaviridae" NA NA "uncultured Papillomavirus" "RCA.Skin.5" 129 NA
"Gammapapillomavirus 12" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 12" "RCA.Skin.5" 93 NA
"Spodoptera frugiperda multiple nucleopolyhedrovirus" "Baculoviridae" NA "Alphabaculovirus" "Spodoptera frugiperda multiple nucleopolyhedrovirus" "RCA.Skin.5" 83 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.5" 68 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.5" 63 NA
"Suid alphaherpesvirus 1" "Herpesviridae" "Alphaherpesvirinae" "Varicellovirus" "Suid alphaherpesvirus 1" "RCA.Skin.5" 28 NA
"Betapapillomavirus 2" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 25 NA
"Human papillomavirus type 49" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.5" 17 NA
"Human papillomavirus type 182" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 9 NA
"Human papillomavirus 37" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 6 NA
"Human polyomavirus 5" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.5" 6 NA
"Human papillomavirus 38" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 6 NA
"Epstein-Barr virus" "Herpesviridae" "Gammaherpesvirinae" "Lymphocryptovirus" "Human gammaherpesvirus 4" "RCA.Skin.5" 5 NA
"Human papillomavirus 148" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 12" "RCA.Skin.5" 5 NA
"Human papillomavirus 157" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 1" "RCA.Skin.5" 5 NA
"Moloney murine leukemia virus" "Retroviridae" "Orthoretrovirinae" "Gammaretrovirus" "Murine leukemia virus" "RCA.Skin.5" 3 NA
