"","taxonomy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","Viruses","90418","588","2","1098","28437","26252","5851","38285","467","10987","1003","12610","73","26","2084","4478","490","185","21","81","1707","7353","70","15787"
"2","Viruses;Papillomaviridae","89899","580","2","943","27446","26230","4898","36794","463","10581","993","12160","35","20","2080","534","141","185","18","81","200","5956","62","15621"
"3","Viruses;Papillomaviridae;Firstpapillomavirinae","87259","19","2","395","26234","25932","3193","20157","372","6720","775","12011","31","15","2051","408","0","177","14","81","107","3869","59","14454"
"4","Viruses;Papillomaviridae;Firstpapillomavirinae;Betapapillomavirus","87086","19","0","340","23312","7669","2234","19501","372","3517","67","413","0","11","2039","213","0","177","14","81","55","2673","43","14424"
"5","Viruses;Papillomaviridae;Firstpapillomavirinae;Betapapillomavirus;Betapapillomavirus 1","84991","0","0","340","23283","7581","894","0","372","0","0","413","0","11","2037","0","0","0","0","0","51","0","43","937"
"6","Viruses;Papillomaviridae;NA","2640","561","0","548","1212","298","1705","16637","91","3861","218","149","4","5","29","126","141","8","4","0","93","2087","3","1167"
"7","Viruses;Papillomaviridae;NA;NA","2640","561","0","548","1212","298","1705","16637","91","3861","218","149","4","5","29","126","141","8","4","0","93","2087","3","1167"
"8","Viruses;Papillomaviridae;NA;NA;Human papillomavirus","2511","561","0","548","1212","298","1705","16637","91","3861","218","149","4","5","29","126","141","8","4","0","20","1803","3","1167"
"9","Viruses;Papillomaviridae;Firstpapillomavirinae;Betapapillomavirus;Betapapillomavirus 2","2078","0","0","0","18","88","1323","19470","0","1302","67","0","0","0","2","213","0","169","14","81","0","1988","0","13481"
"10","Viruses;Polyomaviridae","398","0","0","129","980","0","0","1292","0","398","0","44","16","0","0","3706","38","0","3","0","29","552","0","84"
"11","Viruses;Polyomaviridae;NA","398","0","0","129","980","0","0","1292","0","398","0","44","16","0","0","3706","38","0","3","0","29","552","0","84"
"12","Viruses;Polyomaviridae;NA;Alphapolyomavirus","204","0","0","0","0","0","0","1049","0","327","0","11","6","0","0","6","0","0","0","0","7","17","0","31"
"13","Viruses;Polyomaviridae;NA;Alphapolyomavirus;Human polyomavirus 5","204","0","0","0","0","0","0","1049","0","327","0","11","6","0","0","6","0","0","0","0","7","17","0","31"
"14","Viruses;Polyomaviridae;NA;Deltapolyomavirus","131","0","0","115","980","0","0","9","0","50","0","27","10","0","0","3659","24","0","0","0","16","169","0","46"
"15","Viruses;Polyomaviridae;NA;Deltapolyomavirus;Human polyomavirus 10","131","0","0","21","0","0","0","9","0","28","0","27","10","0","0","28","22","0","0","0","0","169","0","0"
