"taxonomy";"RCA.Skin.1";"RCA.Skin.2";"RCA.Skin.3";"RCA.Skin.4";"RCA.Skin.5";"RCA.Skin.6";"RCA.Skin.7";"RCA.Skin.8";"RCA.Skin.9";"RCA.Skin.10";"RCA.Skin.11";"RCA.Skin.12";"RCA.Vulva.1";"RCA.Vulva.2";"RCA.Vulva.3";"RCA.Vulva.4";"RCA.Vulva.5";"RCA.Vulva.6";"RCA.Vulva.7";"RCA.Vulva.8";"RCA.Vulva.9";"RCA.Vulva.10";"RCA.Vulva.11";"RCA.Vulva.12"
"Viruses";73;7353;38293;4494;90428;502;1098;10987;15799;6771;1711;12638;30;70;28441;467;588;2084;26252;2;1003;185;21;81
"Viruses;Papillomaviridae";35;5956;36798;534;89909;141;943;10581;15625;4926;200;12160;20;62;27439;463;582;2072;26230;0;998;185;21;81
"Viruses;Papillomaviridae;Betapapillomavirus";0;2673;19501;213;87086;0;340;3517;14428;2234;55;413;7;59;26227;372;0;2039;88;0;583;177;17;81
"Viruses;Papillomaviridae;Betapapillomavirus;Betapapillomavirus 1";0;0;0;0;84991;0;340;0;941;894;51;413;7;43;23287;372;0;2037;0;0;370;0;0;0
"Viruses;Podoviridae";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Podoviridae;Hollowayvirus";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Podoviridae;Hollowayvirus;Pseudomonas virus H66";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae";0;0;8;35;0;0;0;0;6;1572;0;12;2;0;9;0;0;3;22;2;0;0;0;0
"Viruses;Siphoviridae;NA";0;0;8;35;0;0;0;0;6;0;0;0;2;0;0;0;0;3;22;2;0;0;0;0
"Viruses;Siphoviridae;NA;Streptococcus virus MS1";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus";31;1192;643;0;115;0;0;3193;23;589;18;11598;0;0;0;0;0;0;0;0;197;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 9";0;0;197;0;0;0;0;0;23;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Betapapillomavirus;Human betapapillomavirus";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Chipapillomavirus";0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Chipapillomavirus;Chipapillomavirus 2";0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Betapapillomavirus;Betapapillomavirus 2";0;1988;19470;213;2078;0;0;1302;13481;1323;0;0;0;0;18;0;0;2;88;0;54;169;17;81
"Viruses;Flaviviridae";0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
"Viruses;Flaviviridae;Flavivirus";0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
"Viruses;Flaviviridae;Flavivirus;Zika virus";0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae";16;552;1292;3706;398;42;129;398;84;0;29;44;4;0;980;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Betapolyomavirus";0;127;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Betapolyomavirus;Human polyomavirus 1";0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Circoviridae";0;816;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Circoviridae;Cyclovirus";0;816;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Circoviridae;Cyclovirus;Human associated cyclovirus 8";0;816;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 1";31;1107;438;0;115;0;0;15;0;68;4;10673;0;0;0;0;0;0;0;0;197;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 8";0;85;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Betapolyomavirus;Human polyomavirus 3";0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Anelloviridae";0;0;0;0;0;0;0;0;0;0;1440;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Anelloviridae;NA";0;0;0;0;0;0;0;0;0;0;1440;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Anelloviridae;NA;Anelloviridae sp.";0;0;0;0;0;0;0;0;0;0;1398;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Herpesviridae";0;27;0;3;33;8;7;6;0;0;38;0;0;0;0;0;2;0;0;0;0;0;0;0
"Viruses;Herpesviridae;Cytomegalovirus";0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Herpesviridae;Cytomegalovirus;Human betaherpesvirus 5";0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Anelloviridae;NA;Torque teno virus";0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 7";0;0;8;0;0;0;0;0;0;35;4;925;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae";0;0;2;0;0;12;17;0;65;131;0;317;0;0;3;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemycircularvirus";0;0;0;0;0;6;17;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemycircularvirus;Giant panda associated gemycircularvirus";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA";0;0;2;0;0;6;0;0;65;131;0;313;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Lepus americanus faeces associated genomovirus SHP216";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Deltapolyomavirus";10;169;9;3659;131;28;115;50;46;0;16;27;0;0;980;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 7";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Streptococcus phage Javan366";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Streptococcus phage Javan340";0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Streptococcus phage Javan348";0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus";0;4;14;195;68;0;55;0;0;398;34;0;8;0;0;0;21;4;25844;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 2";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Inoviridae";0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Inoviridae;NA";0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Inoviridae;NA;Inoviridae sp.";0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 1";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;21;4;0;0;0;0;0;0
"Viruses;Myoviridae";7;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;9;0;0;0;0;0;0
"Viruses;Myoviridae;NA";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;9;0;0;0;0;0;0
"Viruses;Myoviridae;NA;Acinetobacter virus 133";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 10";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;21;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 7";0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;18263;0;0;0;0;0
"Viruses;Polyomaviridae;Betapolyomavirus;Human polyomavirus 2";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 13";31;67;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Myoviridae;Tequatrovirus";7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Myoviridae;Tequatrovirus;Escherichia phage vB_EcoM_G4507";7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 11";0;0;0;0;0;0;0;0;0;0;0;10673;0;0;0;0;0;0;0;0;197;0;0;0
"Viruses;NA";0;0;193;110;0;295;2;2;13;52;4;91;4;2;6;2;4;0;0;0;0;0;0;0
"Viruses;NA;NA";0;0;193;110;0;295;2;2;13;52;4;91;4;2;6;2;4;0;0;0;0;0;0;0
"Viruses;NA;NA;uncultured marine virus";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemycircularvirus;Porcine feces-associated gemycircularvirus";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Capybara genomovirus 12";0;0;0;0;0;0;0;0;0;0;0;276;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Skunavirus";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Skunavirus;Lactococcus phage 936 group phage PhiF0139";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Fly associated circular virus 2";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Autographiviridae";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Autographiviridae;Friunavirus";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Autographiviridae;Friunavirus;Acinetobacter phage AbKT21phiIII";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Plant associated genomovirus 10";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Betapapillomavirus;Betapapillomavirus 5";0;0;0;0;0;0;0;0;0;0;0;0;0;16;2922;0;0;0;0;0;159;0;0;0
"Viruses;Retroviridae";15;0;0;12;3;4;0;0;0;14;0;0;0;0;0;0;0;0;0;0;5;0;0;0
"Viruses;Retroviridae;Lentivirus";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
"Viruses;Retroviridae;Lentivirus;Human immunodeficiency virus 1";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
"Viruses;Papillomaviridae;Lambdapapillomavirus";0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Lambdapapillomavirus;Lambdapapillomavirus 1";0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 23";0;0;0;0;0;0;0;2887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Myoviridae;NA;Acinetobacter phage TAC1";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Genomoviridae sp.";0;0;2;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Dyothetapapillomavirus";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
