"Vulva.5" "Vulva.8" "Vulva.3" "Vulva.7" "Vulva.4" "Vulva.9" "Vulva.1" "Vulva.6" "Vulva.10" "Vulva.11" "Vulva.12" "Vulva.2" "ESPECES" "tax_id" "order" "family" "genus" "species"
0 0 0 0 0 16 0 0 0 0 0 0 "Human papillomavirus 126" "1055684" "" "Papillomaviridae" "Gammapapillomavirus" "Gammapapillomavirus 11"
561 0 1212 298 91 218 5 29 8 4 0 3 "Human papillomavirus" "10566" "" "Papillomaviridae" "" "Human papillomavirus"
0 0 13408 0 0 0 0 0 0 0 0 0 "Human papillomavirus type 8" "10579" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 0 18263 0 0 0 0 0 0 0 0 "Human papillomavirus type 39" "10588" "" "Papillomaviridae" "Alphapapillomavirus" "Alphapapillomavirus 7"
0 0 0 7581 0 0 0 0 0 0 0 0 "Human papillomavirus type 56" "10596" "" "Papillomaviridae" "Alphapapillomavirus" "Alphapapillomavirus 6"
0 0 0 0 0 0 0 0 0 0 15 0 "Human papillomavirus 15" "10606" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 2"
0 0 0 0 0 148 0 0 0 0 0 0 "Human papillomavirus 136" "1070409" "" "Papillomaviridae" "Gammapapillomavirus" "Gammapapillomavirus 11"
0 0 0 86 0 50 0 0 0 0 0 0 "Human papillomavirus 145" "1070418" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 2"
0 0 0 0 0 13 0 0 0 0 0 0 "Human papillomavirus 154" "1195796" "" "Papillomaviridae" "Gammapapillomavirus" "Gammapapillomavirus 11"
0 0 0 0 0 20 0 0 0 0 0 0 "Human papillomavirus 202" "1682341" "" "Papillomaviridae" "Gammapapillomavirus" "Gammapapillomavirus 11"
0 0 0 22 0 0 2 0 0 0 0 0 "Streptococcus phage SW27" "2419647" "Caudovirales" "Siphoviridae" "" "Streptococcus phage SW27"
0 0 0 0 0 154 0 0 0 0 0 0 "Human papillomavirus type 96" "247269" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 5"
19 0 0 0 0 0 0 0 0 0 0 0 "Human papillomavirus type 6" "31552" "" "Papillomaviridae" "Alphapapillomavirus" "Alphapapillomavirus 10"
0 0 0 0 372 0 0 0 0 0 0 0 "Human papillomavirus 5" "333923" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 0 0 0 0 0 0 167 0 0 0 "Human papillomavirus 23" "37955" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 2"
0 0 0 0 0 0 7 2015 0 0 0 0 "Human papillomavirus type 24" "37956" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 0 0 0 0 0 0 0 0 0 43 "Human papillomavirus type 36" "37957" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 12 0 0 4 0 0 0 10 34 0 "Human papillomavirus 104" "518628" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 2"
0 0 6 0 0 0 0 0 0 4 32 0 "Human papillomavirus FA75/KI88-03" "563190" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 2"
0 0 9875 0 0 0 0 22 0 0 0 0 "Human papillomavirus 98" "587347" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 0 0 0 352 0 0 0 0 0 0 "Human papillomavirus 99" "587348" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
0 0 2922 0 0 0 0 0 0 0 0 16 "Human papillomavirus type 150" "743811" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 5"
0 0 980 0 0 0 0 0 0 0 0 0 "Human polyomavirus 6" "746830" "" "Polyomaviridae" "Deltapolyomavirus" "Human polyomavirus 6"
0 0 0 0 0 18 0 0 0 0 0 0 "Human papillomavirus V001/Slovenia/2010" "986164" "" "Papillomaviridae" "Betapapillomavirus" "Betapapillomavirus 1"
