"tax_id","superkingdom","phylum","class","order","family","genus","species","kingdom","no.rank","no.rank1","no.rank2","no.rank22","no.rank3","subclass","subfamily","subkingdom","suborder","subphylum","subspecies","subtribe","superfamily"
10345,"Viruses","","","Herpesvirales","Herpesviridae","Varicellovirus","Suid alphaherpesvirus 1","","","","","","","","","Alphaherpesvirinae","","","","",""
10359,"Viruses","","","Herpesvirales","Herpesviridae","Cytomegalovirus","Human betaherpesvirus 5","","","","","","","","","Betaherpesvirinae","","","","",""
10376,"Viruses","","","Herpesvirales","Herpesviridae","Lymphocryptovirus","Human gammaherpesvirus 4","","","","","","","","","Gammaherpesvirinae","","","","",""
10455,"Viruses","","","","Baculoviridae","Alphabaculovirus","Spodoptera frugiperda multiple nucleopolyhedrovirus","","","","","","","","","","","","","",""
10566,"Viruses","","","","Papillomaviridae","","Human papillomavirus","","unclassified Papillomaviridae","Human papillomavirus types","","","","","","","","","","",""
10579,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 8","","","","","","","Firstpapillomavirinae","","","","",""
10580,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 10","","Human papillomavirus type 11","","","","","","","Firstpapillomavirinae","","","","",""
10588,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 7","","Human papillomavirus type 39","","","","","","","Firstpapillomavirinae","","","","",""
10590,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 1","","Human papillomavirus type 42","","","","","","","Firstpapillomavirinae","","","","",""
10592,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 10","","Human papillomavirus type 44","","","","","","","Firstpapillomavirinae","","","","",""
10596,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 6","","Human papillomavirus type 56","","","","","","","Firstpapillomavirinae","","","","",""
10604,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 12","","","","","","","Firstpapillomavirinae","","","","",""
10606,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 15","","","","","","","Firstpapillomavirinae","","","","",""
10607,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 17","","","","","","","Firstpapillomavirinae","","","","",""
10616,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 3","","Human papillomavirus type 49","","","","","","","Firstpapillomavirinae","","","","",""
10621,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 9","","","","","","","Firstpapillomavirinae","","","","",""
10632,"Viruses","","","","Polyomaviridae","Betapolyomavirus","Human polyomavirus 2","","JC polyomavirus","","","","","","","","","","","",""
11676,"Viruses","","","Ortervirales","Retroviridae","Lentivirus","Human immunodeficiency virus 1","","","","","","","","","Orthoretrovirinae","","","","",""
11801,"Viruses","","","Ortervirales","Retroviridae","Gammaretrovirus","Murine leukemia virus","","Moloney murine leukemia virus","","","","","","","Orthoretrovirinae","","","","",""
11809,"Viruses","","","Ortervirales","Retroviridae","Gammaretrovirus","Moloney murine sarcoma virus","","","","","","","","","Orthoretrovirinae","","","","",""
31547,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 20","","","","","","","Firstpapillomavirinae","","","","",""
31548,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 21","","","","","","","Firstpapillomavirinae","","","","",""
31552,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 10","","Human papillomavirus type 6","","","","","","","Firstpapillomavirinae","","","","",""
37955,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 23","","","","","","","Firstpapillomavirinae","","","","",""
37956,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 24","","","","","","","Firstpapillomavirinae","","","","",""
37957,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 36","","","","","","","Firstpapillomavirinae","","","","",""
37958,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 37","","","","","","","Firstpapillomavirinae","","","","",""
37959,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 38","","","","","","","Firstpapillomavirinae","","","","",""
38018,"Viruses","","","","","","Bacteriophage sp.","","unclassified viruses","unclassified bacterial viruses","","","","","","","","","","",""
45240,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 7","","Human papillomavirus type 68","","","","","","","Firstpapillomavirinae","","","","",""
64320,"Viruses","","","","Flaviviridae","Flavivirus","Zika virus","","Riboviria","","","","","","","","","","","",""
